Unit,Lesson,Title,Book pages,Lesson questions,Unit challenge questions
1,1,Classroom Greetings,6-7,25,30
1,2,Around the Classroom,8-10,25,30
1,3,Our Classroom Objects,11-13,25,30
1,4,Let’s Write Together!,14-16,25,30
2,1,Colors and Shapes,18-20,25,30
2,2,Shapes and Colors Around Us,21-23,25,30
2,3,Numbers and Counting,24-26,25,30
2,4,Let’s Count Together,27-30,25,30
3,1,Classroom Actions,32-34,25,30
3,2,Let’s Talk about Class Routines,35-38,25,30
3,3,All About Our Classroom,39-40,25,30
3,4,Writing About Our Class,41-43,25,30
4,1,My Family,50-52,25,30
4,2,All About Home,53-56,25,30
4,3,My Life at Home,57-59,25,30
4,4,Me and My Family,60-63,25,30
5,1,Inside My Home,65-68,25,30
5,2,What’s in My Home,69-70,25,30
5,3,My Favorite Room,71-73,25,30
5,4,Actions at Home,74-81,25,30
6,1,My Home,83-85,25,30
6,2,Let’s Talk About Our Home!,86-87,25,30
6,3,Where Things Are in My House!,88-89,25,30
6,4,I Can Read and Write About My Home!,90-92,25,30
